SITE_HISTORY_PK,SH_SITE_ID,SH_BASIN,SH_LOCATION,SH_RIVMILE,SH_OLD_SITE_ID,SH_PREV_NAME,SH_STATION,SH_OLD_RIBS_ID,SH_DESC,SH_CITY_TOWN,SH_LATITUDE,SH_LONGITUDE,SH_COUNTY,SH_FIPS_CDE,SH_NAME,SH_HUC_8,SH_NHD_REACHCODE,SH_NHD_M_VALUE,SH_WQ_STANDARD,SH_DEC_REGION,SH_PWL_ID,SH_WIN,SH_HABITAT_TYPE,SH_SITE_CONDITION,SH_DRAINAGE,SH_NED10_ELEV,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
,01-BROC-0.1,01,BROC,0.1,42674958,,0.1,,burr rd.,Portland,42.365518,-79.424251,Chautauqua,013,Unnamed Tributary To Brocton Reservoir,04120101,,,A,9,0105-0026,Ont 158..E-50-P160k-,,,4.55,284.174,,,,
,01-BSIS-2.0,01,BSIS,2.0,108,BSIS-01 (pre-2017),01,,20 m below rt. 5 bridge.,Evans,42.657060,-79.036080,Erie,029,Big Sister Creek,04120103,,,C(T),9,0104-0013,E-2,,,0.09,182.5146,,,,
,01-BSIS-8.6,01,BSIS,8.6,3137,BSIS-01A (pre-2017),01A,01041208,between pontiac and versailles rd. bridge. split in stream.,Evans,42.624750,-78.967390,Erie,029,Big Sister Creek,04120103,,,C,9,0104-0047,E-2,,,68.56,213.2579,,,,
,01-BSIS-11.4,01,BSIS,11.4,2380,BSIS-00 (pre-2017),00,,10 m below cain rd. bridge.,Evans,42.608950,-78.946380,Erie,029,Big Sister Creek,04120103,,,C,9,0104-0047,E-2,,,56.9,230.0948,,,,
,01-BUFC-2.2,01,BUFC,2.2,111,BUFF-03; BUFC-03 (pre-2016),03,01032311,40 m below rt. 277 bridge at usgs gaging station.,West Seneca,42.854740,-78.755070,Erie,029,Buffalo Creek,04120103,,,B,9,0103-0003,E-1,,,68.56,182.534,,,,
,01-BUFC-7.3,01,BUFC,7.3,112,BUFF-03A; BUFC-03A (ore-2016),03A,,at knabb rd. bridge.,Elma,42.845210,-78.677440,Erie,029,Buffalo Creek,04120103,,,B,9,0103-0003,E-1,,,350.74,205.439,,,,
,01-BUFC-21.2,01,BUFC,21.2,1443,BUFC-01 (ore-2016),01,,50 m above rte 20a bridge.,Wales,42.767750,-78.531030,Erie,029,Buffalo Creek,04120103,,,A,9,0103-0004,E-1,,,271.53,267.991,,,,
,01-BUFC-37.8,01,BUFC,37.8,42674959,BUFC-23.6 (pre-2017),37.8,01032337,100 m off cr 395.,Java,42.640000,-78.462000,Wyoming,121,Buffalo Creek,04120103,,,A,9,0103-0004,Ont 158..E- 1*,,,23.18,368.7733,,,,
,01-BUFC_T48-0.2,01,BUFC_T48,0.2,3332,BUFC-A (pre-2017),A,,40 m above sr 78 bridge; box culvert.,Sheldon,42.697550,-78.447890,Wyoming,121,Unnamed Tributary To Buffalo Creek,04120103,,,C,9,0103-0004,E-1-48,,,1.99,312.175,,,,
,01-BUFC_T59-0.8,01,BUFC_T59,0.8,42674960,BUFT-0.8 (pre-2017),0.8,,640 m off michigan rd.,Java,42.631802,-78.439300,Wyoming,121,Unnamed Tributary To Buffalo Creek,04120103,,,C,9,0103-0004,Ont 158..E- 1*,,,5.57,401.9373,,,,
,01-BUFF-0.1,01,BUFF,0.1,2790,,08,,near mouth. at coast guard station. red buoy 4.,Buffalo,42.878000,-78.886990,Erie,029,Buffalo River,04120103,,,B,9,0104-0033,E,Large River,Altered,1130.58,173.735,,,,
,01-BUFF-1.7,01,BUFF,1.7,113,,07,01031002,below ohio st. bridge.,Buffalo,42.861940,-78.867870,Erie,029,Buffalo River,04120103,,,C,9,0103-0001,E-1,Large River,Altered,1110.79,173.74,,,,
,01-BUFF-5.9,01,BUFF,5.9,2789,,06,,bailey ave bridge.,Buffalo,42.861980,-78.825100,Erie,029,Buffalo River,04120103,,,C,9,0103-0001,E-1,Large River,Altered,733.15,173.7372,,,,
,01-BULL-1.5,01,BULL,1.5,2373,,01,,just below townline rd. bridge.,Wheatfield,43.065750,-78.822750,Niagara,063,Bull Creek,04120104,,,C,9,0102-0026,ONT-158-12-3,,,53.05,175.8223,,,,
,01-BUTT-0.1,01,BUTT,0.1,1430,,01,,45 m above thomas corners rd. bridge-gaging station.,Ashford,42.482880,-78.676750,Cattaraugus,009,Buttermilk Creek,04120102,,,C,9,0104-0063,E-23-33,,,79.57,339.4123,,,,
,01-CATT-2.0,01,CATT,2.0,178,CATT 02; CATT-09 (pre-2017),09,01041302B,at rts. 5 and 20 bridge.,Brant,42.568500,-79.104260,Erie,029,Cattaraugus Creek,04120102,,,B(T),9,0104-0029,E-23,,,1436.79,174.267,,,,
,01-CATT-11.0,01,CATT,11.0,176,,08,,200 m below versailles plank rd. bridge.,Perrysburg,42.524990,-78.990870,Cattaraugus,009,Cattaraugus Creek,04120102,,,C(T),9,0104-0053,E-23,,,1209.48,199.5562,,,,
,01-CATT-17.5,01,CATT,17.5,175,CATT 01; CATT-07 (pre-2017),07,,100 m above rt. 39 (main st.) bridge.,Collins,42.462610,-78.933820,Erie,029,Cattaraugus Creek,04120102,,,C(T),9,0104-0053,E-23,,,1130.16,224.0425,,,,
,01-CATT-27.3,01,CATT,27.3,174,,06,,100 m above n. otto rd. bridge; dec fishing access.,Collins,42.456870,-78.812080,Erie,029,Cattaraugus Creek,04120102,,,B,9,0104-0074,E-23,,,806.66,286.1352,,,,
,01-CATT-36.9,01,CATT,36.9,173,,05,,100 m below scoby hill rd. bridge; 300 m below dam.,Ashford,42.484170,-78.700840,Cattaraugus,009,Cattaraugus Creek,04120102,,,B,9,0104-0025,E-23,,,655.88,320.839,,,,
,01-CATT-42.8,01,CATT,42.8,170,,04,,200 m above rt. 240 (vaughn st.) bridge.,Concord,42.497350,-78.639200,Erie,029,Cattaraugus Creek,04120102,,,B,9,0104-0020,E-23,,,525.84,348.0451,,,,
,01-CATT-46.9,01,CATT,46.9,3318,CATT-03A (pre-2017),03A,,400 m downstream of hake rd. bridge.,Sardinia,42.512620,-78.586090,Erie,029,Cattaraugus Creek,04120102,,,B,9,0104-0020,E-23,,,489.38,360.1738,,,,
,01-CATT-48.4,01,CATT,48.4,42674961,,48.4,,750 m downstream of sr 39.,Yorkshire,42.533710,-78.479190,Cattaraugus,009,Cattaragus Creek,04120102,,,C(T),9,0104-0005,Ont 158..E-23 (portion 5),,,208.35,413.9021,,,,
,01-CATT-53.0,01,CATT,53.0,169,,03,,100 m above cr 225a bridge.,Yorkshire,42.527130,-78.508030,Cattaraugus,009,Cattaraugus Creek,04120102,,,C(T),9,0104-0005,E-23,,,225.53,391.6482,,,,
,01-CATT-56.4,01,CATT,56.4,168,,02,,150 m below north woods rd. bridge.,Arcade,42.536850,-78.459470,Wyoming,121,Cattaraugus Creek,04120102,,,C(T),9,0104-0005,E-23,,,206.47,425.4059,,,,
,01-CATT-58.9,01,CATT,58.9,167,,01,,40 m above water st. bridge.,Arcade,42.535640,-78.419770,Wyoming,121,Cattaraugus Creek,04120102,,,C(T),9,0104-0005,E-23,,,110.71,447.2072,,,,
,01-CATT-64.4,01,CATT,64.4,1475,,00,,at east arcade rd. bridge.,Arcade,42.569300,-78.346740,Wyoming,121,Cattaraugus Creek,04120102,,,C(T),9,0104-0005,E-23,,,36.7,480.2166,,,,
,01-CATT_S-12.6,01,CATT_S,12.6,1447,CATT-07A (pre-2017),07A,01042414,rte 11 bridge.,Otto,42.356000,-78.832860,Cattaraugus,009,South Branch Cattaraugus Creek,04120102,,,C(T),9,0104-0006,E-23-2,,,170.53,376.8942,,,,
,01-CATT_T72-0.5,01,CATT_T72,0.5,42673968,WCAMC-01 (pre-2017),01,,upstream of cattaraugus creek at sr 78.,Java,42.633106,-78.334200,Wyoming,121,Unnamed Tributary To Cattaraugus Creek,04120102,,,C(T),9,0104-0005,E-23,,,7.43,509.2346,,,,
,01-CAZE-0.1,01,CAZE,0.1,2787,BUFF-04A; CAZE-04A (pre-2017),04A,,rte 20.,Aurora,42.760030,-78.645230,Erie,029,Cazenovia Creek,04120103,,,B,9,0103-0009,E-1-4,,,145.46,246.9439,,,,
,01-CAZE-1.1,01,CAZE,1.1,,,,01032101B,at cazenovia st. bridge.,Buffalo,42.850556,-78.809160,Erie,029,Cazenovia Creek,04120103,,,B,9,0103-0009,Ont 158..E- 1- 4,,,,179.7328,,,,
,01-CAZE-1.6,01,CAZE,1.6,195,BUFF-05A; CAZE-05A (pre-2017),05A,,80 m below parkside dr. bridge.,Buffalo,42.845890,-78.806450,Erie,029,Cazenovia Creek,04120103,,,C,9,0103-0009,E-1-4,,,358.51,176.8348,,,,
,01-CAZE-2.8,01,CAZE,2.8,2788,BUFF-05; CAZE-05 (pre-2017),05,,seneca st.,West Seneca,42.840680,-78.786280,Erie,029,Cazenovia Creek,04120103,,,B,9,0103-0009,E-1-4,,,356.31,179.534,,,,
,01-CAZE-14.5,01,CAZE,14.5,192,BUFF 04B; CAZE-04B (pre-2017),04B,,50 m above willardshire rd. bridge.,Aurora,42.779700,-78.682600,Erie,029,Cazenovia Creek,04120103,,,B,9,0103-0009,E-1-4,,,308.93,233.239,,,,
,01-CAZE_E-0.3,01,CAZE_E,0.3,193,BUFF 04C; CAZE-04C (pre-2017),04C,01033101,at jewett holmwood rd. bridge.,Aurora,42.757290,-78.644750,Erie,029,East Branch Cazenovia Creek,04120103,,,B,9,0103-0011,E-1-4-14,,,145.21,248.8657,,,,
,01-CAZE_E-1.5,01,CAZE_E,1.5,2786,BUFF-04; CAZE-04  (pre-2017),04,,mill rd.,Aurora,42.760760,-78.630260,Erie,029,East Branch Cazenovia Creek,04120103,,,B,9,0103-0011,E-1-4-14,,,139.68,257.0709,,,,
,01-CAZE_E-7.1,01,CAZE_E,7.1,42674969,ECAZ-7.1 (pre-2017),7.1,,200 m off olean rd.,Aurora,42.727200,-78.591000,Erie,029,East Branch Cazenovia Creek,04120103,,,B,9,0103-0011,Ont 158..E- 1- 4-14,,,110.41,268.7244,,,,
,01-CAZE_E-15.7,01,CAZE_E,15.7,1648,CAZE-02 (pre-2017),02,,200 meters above glenwood rd. bridge.,Holland,42.638520,-78.541910,Erie,029,East Branch Cazenovia Creek,04120103,,,B,9,0103-0012,E-1-4-14,,,46.29,331.6845,,,,
,01-CAZE_T3-1.4,01,CAZE_T3,1.4,42674962,CAZT-1.4 (pre-2017),1.4,,reserve rd.,West Seneca,42.810699,-78.745490,Erie,029,Unnamed Tributary To Cazenovia Creek,04120103,,,C,9,0103-0009,Ont 158..E- 1- 4,,,4.56,212.0784,,,,
,01-CAZE_W-0.6,01,CAZE_W,0.6,194,BUFF 04D; CAZE-04D (pre-2017),04D,,at jewett holmwood rd. bridge.,Aurora,42.754290,-78.651400,Erie,029,West Branch Cazenovia Creek,04120103,,,B,9,0103-0013,E-1-4-15,,,153.24,250.576,,,,
,01-CAZE_W-11.0,01,CAZE_W,11.0,1652,CAZE-01 (pre-2017),01,,200 m above rt. 240 bridge.,Colden,42.643070,-78.685310,Erie,029,West Branch Cazenovia Creek,04120103,,,B,9,0103-0014,E-1-4-15,,,70.95,327.4343,,,,
,01-CHAU-0.4,01,CHAU,0.4,216,CHAU-01 (pre-2017),01,01051301,50 m above rt. 5 bridge.,Westfield,42.336960,-79.600590,Chautauqua,013,Chautauqua Creek,04120101,,,C(T),9,0105-0001,E-68,,,91.2,175.251,,,,
,01-CHAU-4.0,01,CHAU,4.0,42674963,,04,,125 m off mount baldy rd.,Westfield,42.305990,-79.576600,Chautauqua,013,Chautauqua Creek,04120101,,,C(T),9,0105-0001,Ont 158..E-68,,,68.55,224.551,,,,
,01-CHAU-14.9,01,CHAU,14.9,2366,CHAU-00 (pre-2017),00,,10 m above putnam rd. bridge.,Westfield,42.211110,-79.598040,Chautauqua,013,Chautauqua Creek,04120101,,,A(T),9,0105-0027,E-68,,,23.54,445.866,,,,
,01-CLAR-0.6,01,CLAR,0.6,1449,CATT-08B; CLAR-02; CLAR-08B (pre-2017),08B,01042301,rte 438 bridge.,Collins,42.542900,-79.014990,Erie,029,Clear Creek,04120102,,,C(TS),9,0104-0024,E-23-6,,,143.73,191.667,,,,
,01-CLAR-3.3,01,CLAR,3.3,177,CATT-08A; CLAR-01 (pre-2017),01,,200 m above versailles plank rd. bridge.,Collins,42.540710,-78.980240,Erie,029,Clear Creek,04120102,,,C(TS),9,0104-0024,E-23-6,,,137.09,206.171,,,,
,01-CLAR-8.9,01,CLAR,8.9,2377,CLAR-00 (pre-2017),00,,10 m below rte 62 bridge.,Collins,42.499020,-78.928670,Erie,029,Clear Creek,04120102,,,C(TS),9,0104-0054,E-23-6,,,62.62,243.151,,,,
,01-CLAR_N-0.1,01,CLAR_N,0.1,42674996,CLAR-C (pre-2017),C,,sisson hwy.,North Collins,42.567116,-78.846825,Erie,029,North Branch Clear Creek,04120102,,,A,9,0104-0056,Ont 158..E-23- 6-4,,,7.16,371.0459,,,,
,01-CLAR_N-1.3,01,CLAR_N,1.3,1448,CATT-08AA; CLAR-A; CLAR-08AA (pre-2017),08AA,,at jennings rd. bridge.,Collins,42.522100,-78.932240,Erie,029,North Branch Clear Creek,04120102,,,C(TS),9,0104-0055,E-23-6-4,,,51.55,236.6781,,,,
,01-CLAR_N-7.4,01,CLAR_N,7.4,2389,CLAR-B (pre-2017),B,,marshfield rd. bridge.,North Collins,42.543890,-78.853060,Erie,029,North Branch Clear Creek,04120102,,,C,9,0104-0055,E-23-6-4,,,15.53,350.8535,,,,
,01-CLEA-0.1,01,CLEA,0.1,2398,CATT-01A; CLEA-01A (pre-2016),01A,01042500,rte 39.,Arcade,42.534170,-78.421390,Wyoming,121,Clear Creek,04120102,,,C(TS),9,0104-0031,E-23-56,,,83.22,448.152,,,,
,01-CLEA-3.1,01,CLEA,3.1,3138,CLEA-00(pre-2017),00,01042503,off route 98 and sparks rd.; walk downstream from dec fishing access.,Freedom,42.506080,-78.389560,Cattaraugus,009,Clear Creek,04120102,,,C(TS),9,0104-0031,E-23-56,,,68.2,480.9464,,,,
,01-COEL-1.5,01,COEL,1.5,3327,COEL-01 (pre-2017),01,,20 m above fuller rd. culvert.,Portland,42.385600,-79.466290,Chautauqua,013,Corell Creek,04120101,,,C,9,0105-0024,E-51,,,8.49,210.5342,,,,
,01-CONN-0.2,01,CONN,0.2,1432,CONN-01 (pre-2017),01,,10 m below hammond hill rd. bridge.,East Otto,42.470540,-78.747890,Cattaraugus,009,Connoisarauley Creek,04120102,,,B(TS),9,0104-0061,E-23-27,,,56.26,307.6435,,,,
,01-CONN-2.5,01,CONN,2.5,3311,CONN-00 (pre-2017),00,,west connoisarauley rd. at old bridge location.,East Otto,42.450690,-78.727580,Cattaraugus,009,Connoisarauley Creek,04120102,,,B(TS),9,0104-0061,E-23-27,,,46.72,351.4357,,,,
,01-CRKB-0.2,01,CRKB,0.2,2405,CRKB-01 (pre-2016),01,,10 m below rte 5 bridge.,Dunkirk,42.482650,-79.355900,Chautauqua,013,Crooked Brook,04120101,,,C,9,0105-0019,E-36,,,13.95,176.6602,,,,
,01-CRKB-2.1,01,CRKB,2.1,42674965,,2.1,01053202,130 m north of beaver creek rd.,Dunkirk,42.469380,-79.330900,Chautauqua,013,Crooked Brook,04120101,,,C,9,0105-0019,Ont 158..E-36,,,7.55,190.986,,,,
,01-CRKB_T1-0.7,01,CRKB_T1,0.7,42674964,CRKB-T-1 (pre-2017),T-1,,willow rd.,Dunkirk,42.471273,-79.348380,Chautauqua,013,Unnamed Tributary To Crooked Brook,04120101,,,C,9,0105-0019,Ont 158..E-36,,,2.99,187.5594,,,,
,01-CROW-0.4,01,CROW,0.4,2409,CROW-01 (pre-2016),01,,10 m upstream of exchange rd. bridge.,Attica,42.843720,-78.275250,Wyoming,121,Crow Creek,04120104,,,A,9,0102-0023,ONT-158-12-46,,,24.2,304.3227,,,,
,01-CWAY-0.2,01,CWAY,0.2,279,CWAY-01; CWAY-02 (pre-2016),02,01051200,at rt. 5 bridge.,Dunkirk,42.475380,-79.365560,Chautauqua,013,Canadaway Creek,04120101,,,B(TS),9,0105-0008,E-37,,,104.49,174.6246,,,,
,01-CWAY-7.4,01,CWAY,7.4,2370,CWAY-00; CWAY01 (pre-2015),01,,10 m upstream of spoden rd. bridge.,Pomfret,42.403260,-79.304520,Chautauqua,013,Canadaway Creek,04120101,,,B,9,0105-0020,E-37,,,41.23,263.8293,,,,
,01-CWAY-8.3,01,CWAY,8.3,3313,CWAY 00 (2015),00,,50 m above shumla rd. bridge.,Pomfret,42.390590,-79.300780,Chautauqua,013,Canadaway Creek,04120101,,,B,9,0105-0020,E-37,,,39.3,292.1498,,,,
,01-CWAY-14.5,01,CWAY,14.5,42674966,CWAY-14.5  (pre-2016),14.5,01051214,cr 312.,Arkwright,42.367200,-79.236860,Chautauqua,013,Canadaway Creek,04120101,,,B,9,0105-0020,Ont 158..E-37,,,14.86,427.0119,,,,
,01-CYGA-2.4,01,CYGA,2.4,1476,CYGA-01 (pre-2017),01,,at rt. 182 (porter rd.) bridge.,Niagara,43.101060,-78.957430,Niagara,063,Cayuga Creek,04120104,,,C,9,0101-0001,ONT-158-8,,,31.47,174.1876,,,,
,01-DELC-1.4,01,DELC,1.4,1444,DELC-01 (pre-2017),01,,10 m below rte 5 bridge.,Evans,42.629890,-79.053960,Erie,029,Delaware Creek,04120103,,,B(TS),9,0104-0050,E-21,,,19.92,187.1142,,,,
,01-DREC-0.1,01,DREC,0.1,2396,,01,,20 m below sr 39.,Sardinia,42.513330,-78.567780,Erie,029,Dresser Creek,04120102,,,C,9,0104-0075,E-23-45,,,9.27,375.4172,,,,
,01-DUNE-3.0,01,DUNE,3.0,42674967,,03,,chapin rd.,Sheridan,42.512143,-79.223130,Chautauqua,013,Unnamed Tributary To Lake Erie,04120101,,,C,9,0105-0015,Ont 158..E-26 thru 41 (selected),,,6.36,211.8817,,,,
,01-DURK-2.7,01,DURK,2.7,42674968,,2.7,,50 m off county line rd.,Alden,42.887001,-78.464600,Erie,029,Durkee Creek,04120104,,,C,9,0102-0024,Ont 158-12- 1,,,5.03,276.8033,,,,
,01-ELEV-0.2,01,ELEV,0.2,2385,ELEV-01 (pre-2016),01,,20 m above sumner rd. bridge.,Darien,42.922300,-78.423960,Genesee,037,Elevenmile Creek,04120104,,,C,8,0102-0024,ONT-158-12-1,,,27.78,259.4846,,,,
,01-ELLI-7.1,01,ELLI,7.1,1504,ELLI-07 (pre-2016),07,,30 m below st. rita's lane bridge.,Amherst,43.006770,-78.775860,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,216.75,174.6738,,,,
,01-ELLI-10.3,01,ELLI,10.3,315,ELLI 01; ELLI-06 (pre-2016),06,01022111,80 m below sheridan dr. (rt. 324) bridge.,Amherst,42.978800,-78.764000,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,206.36,180.7359,,,,
,01-ELLI-12.3,01,ELLI,12.3,1478,ELLI-05 (pre-2016),05,,in back of tennis/ racquet club. off mill st.,Amherst,42.968610,-78.746820,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,197.13,184.0677,,,,
,01-ELLI-17.5,01,ELLI,17.5,1503,ELLI-04 (pre-2016),04,,100 m below main st. bridge.,Lancaster,42.942150,-78.687060,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,174.38,211.7611,,,,
,01-ELLI-22.9,01,ELLI,22.9,1502,ELLI-03 (pre-2016),03,,pavement rd.; under bridge.,Lancaster,42.937730,-78.622920,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,165.19,218.251,,,,
,01-ELLI-28.4,01,ELLI,28.4,1501,ELLI-02 (pre-2016),02,,50 m above walden ave bridge.,Alden,42.934870,-78.552310,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,103.47,230.4346,,,,
,01-ELLI-31.3,01,ELLI,31.3,1500,ELLI-01 (pre-2016),01,,20 m below sandbridge rd. bridge.,Alden,42.916350,-78.523110,Erie,029,Ellicott Creek,04120104,,,B,9,0102-0018,ONT-158-12-1,,,100.99,241.4365,,,,
,01-ELLI-33.8,01,ELLI,33.8,2386,ELLI-00 (pre-2016),00,,5 m below crittenden rd. bridge.,Alden,42.914170,-78.493890,Erie,029,Ellicott Creek,04120104,,,C,9,0102-0024,ONT-158-12-1,,,72.37,250.0629,,,,
,01-ELTO-4.2,01,ELTO,4.2,1428,ELTO-01 (pre-2017),01,,at rte 16 bridge.,Yorkshire,42.486790,-78.480180,Cattaraugus,009,Elton Creek,04120102,,,C(T),9,0104-0064,E-23-48,,,95.46,431.2416,,,,
,01-FISN-2.4,01,FISN,2.4,42674970,FISN-01 (pre-2017),01,,350 m west of upper mountain rd.,Lewiston,43.158130,-78.979800,Niagara,063,Fish Creek,04120104,,,C,9,0101-0029,Ont 158- 1 thru 5,,,6.57,187.2507,,,,
,01-FOST-0.1,01,FOST,0.1,3326,FOST-01 (pre-2017),01,,downstream of hoover rd. bridge.,Hamburg,42.777600,-78.859860,Erie,029,Foster Creek,04120103,,,C,9,0104-0038,E-4,,,7.26,176.5069,,,,
,01-FOST-0.5,01,FOST,0.5,3382,FOST-01A (pre-2017),01A,,20 m upstream of big tree rd.,Hamburg,42.771920,-78.856730,Erie,029,Foster Creek,04120103,,,C,9,0104-0038,E-4,,,5.75,181.4843,,,,
,01-GILL-0.3,01,GILL,0.3,1456,GILL-01 (pre-2017),01,,10 m above rte 384 bridge.,Niagara Falls,43.082870,-79.025380,Niagara,063,Gill Creek,04120104,,,C,9,0101-0002,ONT-158-6,,,31.48,172.6393,,,,
,01-GOON-1.2,01,GOON,1.2,2401,GOON-01 (pre-2017),01,,50 m above rte 240.,Ashford,42.441880,-78.615720,Cattaraugus,009,Gooseneck Creek,04120102,,,C(TS),9,0104-0063,E-23-33-5,,,19.06,427.8876,,,,
,01-GOON-3.2,01,GOON,3.2,42674971,GOON-00 (pre-2017),00,,cr 55.,Ashford,42.453000,-78.585000,Cattaraugus,009,Gooseneck Creek,04120102,,,C(TS),9,0104-0063,Ont 158..E-23-33,,,3.34,505.5985,,,,
,01-GOTC-0.2,01,GOTC,0.2,1477,GPTC-01 (pre-2017),01,,30 m upstream of n. french rd. bridge.,Amherst,43.034640,-78.707860,Erie,029,Gott Creek,04120104,,,C(T),9,0102-0027,ONT-158-12-6-4,,,47.02,176.7604,,,,
,01-GUNC-0.7,01,GUNC,0.7,42674972,GUNC-01 (pre-2017),01,,250 m north of ransom rd.,Grand Island,43.041238,-78.921667,Erie,029,Gun Creek,04120104,,,B,9,0101-0011,Ont 158 G.I.-1 thru 6,,,14.62,173.638,,,,
,01-HALB-0.7,01,HALB,0.7,2406,HALB-01 (pre-2017),01,,rtes 5 and 20 culvert.,Hanover,42.552220,-79.143050,Chautauqua,013,Halfway Brook,04120101,,,C(TS),9,0104-0072,E-24,,,7.56,181.3278,,,,
,01-HAMP-1.2,01,HAMP,1.2,2371,HAMP-01(pre-2017),01,,eckardt rd. bridge.,Eden,42.691390,-78.834170,Erie,029,Hampton Brook,04120103,,,B,9,0104-0041,E-13-6,,,16.65,245.9478,,,,
,01-HAMP-3.6,01,HAMP,3.6,42674973,HAMP-00 (pre-2017),00,,350 m north of keller rd.,Eden,42.666901,-78.816100,Erie,029,Hampton Brook,04120103,,,B,9,0104-0041,Ont 158..E-13- 6,,,7.42,291.9684,,,,
,01-HOSM-1.1,01,HOSM,1.1,2397,,01,,100 m below sr 39.,Sardinia,42.540240,-78.503910,Erie,029,Hosmer Brook,04120102,,,C(TS),9,0104-0005,E-23-50,,,27.93,415.0908,,,,
,01-HUNE-0.5,01,HUNE,0.5,1442,HUNE-01 (pre-2017),01,,hunter creek rd. bridge.,Wales,42.759200,-78.531550,Erie,029,Hunter Creek,04120103,,,B,9,0103-0004,E-1-30,,,44.96,279.1821,,,,
,01-HUNE-5.9,01,HUNE,5.9,42674974,HUNE-5.0 (pre-2017),5.9,,goodleberg rd.,Wales,42.717098,-78.534103,Erie,029,Hunter Creek,04120103,,,B,9,0103-0004,Ont 158..E- 1*,,,29.15,334.0587,,,,
